listing_id,host_id,host_name,neighbourhood,neighbourhood_group,latitude,longitude,room_type,property_type,price,minimum_nights,maximum_nights,number_of_reviews,reviews_per_month,review_rate_number,availability_365,number_of_reviews_ltm,host_listings_count,host_is_superhost,instant_bookable,calculated_host_listings_count,last_review,license
8576,17792,Abhishek,Golf Course Road (DLF 5),Gurugram,28.463122,77.0904,Entire home/apt,Apartment,20062.94,5,90,110,4.58,3.7,152,53,1.0,False,True,1,2021-08-13,DL-MCD-677774
3743,15368,Rhea,Aerocity (IGI Airport),West & North Delhi,28.54974,77.109855,Hotel room,Builder Floor,16447.73,3,30,110,3.24,4.3,116,38,1.0,False,True,2,2021-10-15,
6232,12008,Simran,Golf Course Road (DLF 5),Gurugram,28.45922,77.097519,Private room,Builder Floor,9328.62,2,365,85,12.0,4.7,182,34,1.0,False,True,2,2023-09-03,DL-MCD-959869
5724,10548,Naveen,Dwarka,West & North Delhi,28.594661,77.039599,Private room,Apartment,8654.7,3,365,58,6.44,4.4,232,23,1.0,False,False,1,2023-04-13,DL-MCD-571377
8988,16751,Kavita,Indirapuram,Ghaziabad,28.643874,77.362778,Entire home/apt,Studio,7132.69,3,365,25,,3.6,312,13,1.0,False,True,1,2022-12-23,DL-MCD-151876
6523,20125,Latika,Hauz Khas Village,South Delhi,28.555297,77.196549,Private room,Serviced Apartment,7632.07,1,180,98,4.45,4.0,171,38,,,True,8,2023-05-05,DL-MCD-755934
3150,14149,Vivek,Vasant Kunj,South Delhi,28.527932,77.165313,Entire home/apt,Studio,15689.22,1,90,58,3.87,4.0,243,22,1.0,False,True,1,2021-10-31,
2877,17027,Manish,Green Park,South Delhi,28.556297,77.224333,Hotel room,Builder Floor,15978.69,1,365,55,1.72,3.8,263,31,1.0,,False,2,2021-10-05,DL-MCD-523408
5915,15239,Komal,Green Park,South Delhi,28.574408,77.199981,Entire home/apt,Builder Floor,11319.18,1,30,106,2.36,3.9,154,48,1.0,False,True,1,2021-09-27,DL-MCD-698178
7745,12136,Sameer,Sector 137 Expressway,Noida,28.504725,77.398076,Entire home/apt,Serviced Apartment,11590.9,3,30,55,1.62,,268,31,1.0,False,True,2,2021-09-14,DL-MCD-788739
5701,16161,Vishal,Greater Noida (Pari Chowk),Greater Noida,28.471229,77.494166,Entire home/apt,Condo,8007.42,15,30,101,6.31,4.2,166,42,1.0,False,True,1,2022-09-03,
4690,13396,Sanjay,Sector 18 Noida,Noida,28.559869,77.321595,Private room,Builder Floor,6618.52,5,365,105,3.5,,186,68,1.0,True,False,1,2024-05-12,DL-MCD-837028
1781,20242,Mohit,Vasant Kunj,South Delhi,28.535156,77.152054,Private room,Farmhouse,6138.19,3,180,80,2.22,3.9,198,27,5.0,False,False,5,2021-04-22,DL-MCD-952143
8905,14332,Sameer,Civil Lines,West & North Delhi,28.682863,77.215948,Entire home/apt,Apartment,11510.37,3,90,110,11.0,4.9,179,57,1.0,,True,2,2024-11-02,
4360,16762,Sunita,Sector 18 Noida,Noida,28.575496,77.327286,Private room,Condo,6918.24,3,365,82,6.31,4.4,194,22,1.0,True,True,2,2021-12-20,DL-MCD-504205
7733,20026,Alok,Connaught Place,Central Delhi,28.64462,77.243489,Entire home/apt,Builder Floor,25490.57,1,365,38,0.93,3.7,286,24,6.0,True,True,7,2024-03-06,DL-MCD-537481
3795,13184,Geeta,Cyber City,Gurugram,28.494382,77.103633,Entire home/apt,Condo,13591.2,1,90,95,12.0,4.7,165,49,1.0,False,True,2,2023-10-02,
3371,17115,Varun,Dwarka,West & North Delhi,28.596075,77.054968,Entire home/apt,Apartment,6419.72,3,365,95,2.5,,179,28,1.0,False,False,2,2022-01-23,DL-MCD-673131
6014,17386,Rohan,Sector 29,Gurugram,28.476411,77.047837,Entire home/apt,Builder Floor,13701.19,5,365,80,6.67,4.6,180,24,1.0,False,True,1,2021-04-27,DL-MCD-884351
5804,17646,Vivek,Cyber City,Gurugram,28.501522,77.094418,Private room,Serviced Apartment,10123.99,15,90,92,8.36,4.3,179,31,1.0,True,True,2,2023-12-05,DL-MCD-685049
8779,11624,Meera,Aerocity (IGI Airport),West & North Delhi,28.543979,77.112089,Entire home/apt,,18254.08,1,365,124,12.0,4.8,126,39,1.0,False,True,2,2022-04-13,DL-MCD-139796
9078,17736,Varun,Sushant Lok,Gurugram,28.466564,77.080973,Private room,Farmhouse,7183.74,2,90,53,3.79,3.8,281,25,1.0,False,True,2,2024-12-09,DL-MCD-277529
3054,20164,Bhavna,Sector 137 Expressway,Noida,28.51973,77.416105,Private room,Boutique B&B,8657.89,30,365,44,1.22,3.3,272,22,5.0,True,False,6,2022-09-28,DL-MCD-324620
3289,13323,Mohit,Greater Kailash,South Delhi,28.54997,77.252823,Private room,Builder Floor,9229.58,15,365,69,2.88,3.9,208,19,1.0,False,True,2,2022-06-24,
2590,16094,Harsh,Karol Bagh,Central Delhi,28.655696,77.18037,Hotel room,Apartment,15511.84,7,180,85,12.0,5.0,171,52,1.0,True,True,2,2021-10-15,
